transaction_id,order_id,merchant_id,terminal_id,channel,payment_mode,card_network,issuer_bank,amount,currency,txn_initiated_at,auth_status,ledger_status,settlement_status,current_status,failure_stage,failure_reason_code,failure_reason_desc,retry_count,trace_id
TXN2026M0000016,ORDM0000016,MRC81141,TID58716,ONLINE,CARD,,KOTAK,18169.62,INR,2026-02-02T10:48:20,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,1,TRACE115417
TXN2026M0000017,ORDM0000017,MRC69373,TID80595,POS,CARD,MASTERCARD,ICICI,1540.28,INR,2026-02-01T15:05:15,SUCCESS,SUCCESS,FAILED,FAILED,SETTLEMENT,SETTLEMENT_NOT_TRIGGERED,Settlement engine did not pick transaction,0,TRACE181977
TXN2026M0000018,ORDM0000018,MRC62572,TID14590,POS,CARD,MASTERCARD,SBI,12802.46,INR,2026-02-02T04:04:54,SUCCESS,SUCCESS,FAILED,FAILED,BANK_FILE,BANK_FILE_REJECTED,Issuer bank rejected settlement file,0,TRACE836174
TXN2026M0000019,ORDM0000019,MRC95612,TID77630,ONLINE,UPI,RUPAY,HDFC,1752.34,INR,2026-02-03T03:03:44,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,0,TRACE857904
TXN2026M0000020,ORDM0000020,MRC58555,TID25686,POS,UPI,RUPAY,AXIS,8006.84,INR,2026-02-03T20:56:41,SUCCESS,SUCCESS,SUCCESS,FAILED,POST_AUTH,WEBHOOK_MISSED,Merchant webhook acknowledgement missing,1,TRACE599345
TXN2026M0000021,ORDM0000021,MRC67853,TID86829,POS,UPI,VISA,KOTAK,4416.61,INR,2026-02-01T12:22:01,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,1,TRACE920434
TXN2026M0000022,ORDM0000022,MRC28993,TID52057,POS,WALLET,RUPAY,AXIS,5555.85,INR,2026-02-01T23:05:48,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,1,TRACE157757
TXN2026M0000023,ORDM0000023,MRC67331,TID24348,POS,WALLET,MASTERCARD,SBI,15904.61,INR,2026-02-02T18:23:15,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,1,TRACE704389
TXN2026M0000024,ORDM0000024,MRC85497,TID44105,ONLINE,UPI,VISA,HDFC,6675.19,INR,2026-02-04T06:38:52,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,1,TRACE331941
TXN2026M0000025,ORDM0000025,MRC31971,TID27933,POS,UPI,RUPAY,KOTAK,18929.6,INR,2026-02-01T23:30:07,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,0,TRACE172668
TXN2026M0000026,ORDM0000026,MRC13294,TID10384,POS,CARD,RUPAY,KOTAK,939.32,INR,2026-02-03T11:09:10,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,1,TRACE452158
TXN2026M0000027,ORDM0000027,MRC67410,TID33439,ONLINE,CARD,RUPAY,KOTAK,13760.65,INR,2026-02-04T16:11:08,FAILED,SUCCESS,SUCCESS,FAILED,AUTH,ISSUER_TIMEOUT,Issuer did not respond within SLA,2,TRACE847259
TXN2026M0000028,ORDM0000028,MRC15343,TID34631,ONLINE,CARD,VISA,ICICI,9865.31,INR,2026-02-04T01:16:41,SUCCESS,FAILED,SUCCESS,FAILED,LEDGER,DB_DEADLOCK,Ledger DB deadlock during write,0,TRACE879346
TXN2026M0000029,ORDM0000029,MRC78248,TID88229,POS,CARD,RUPAY,HDFC,7808.05,INR,2026-02-04T15:15:30,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,1,TRACE362452
TXN2026M0000030,ORDM0000030,MRC87349,TID63506,POS,WALLET,,ICICI,6483.38,INR,2026-02-03T08:44:57,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,1,TRACE976213
TXN2026M0000031,ORDM0000031,MRC30834,TID45916,ONLINE,CARD,,SBI,14454.23,INR,2026-02-04T10:59:35,FAILED,SUCCESS,SUCCESS,FAILED,AUTH,ISSUER_TIMEOUT,Issuer did not respond within SLA,2,TRACE748200
TXN2026M0000032,ORDM0000032,MRC57410,TID15003,ONLINE,CARD,RUPAY,KOTAK,1445.02,INR,2026-02-03T03:54:44,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,1,TRACE993979
TXN2026M0000033,ORDM0000033,MRC85485,TID12870,POS,UPI,MASTERCARD,HDFC,8782.91,INR,2026-02-03T21:02:09,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,1,TRACE190317
TXN2026M0000034,ORDM0000034,MRC31915,TID77892,POS,CARD,MASTERCARD,AXIS,7419.4,INR,2026-02-01T14:46:42,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,1,TRACE379673
TXN2026M0000035,ORDM0000035,MRC77321,TID43470,POS,CARD,RUPAY,ICICI,502.12,INR,2026-02-01T21:29:48,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,1,TRACE899616
TXN2026M0000036,ORDM0000036,MRC85797,TID20759,ONLINE,WALLET,,KOTAK,5974.46,INR,2026-02-02T05:50:44,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,1,TRACE883233
TXN2026M0000037,ORDM0000037,MRC55344,TID66461,ONLINE,UPI,MASTERCARD,KOTAK,15209.88,INR,2026-02-02T17:34:50,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,1,TRACE116639
TXN2026M0000038,ORDM0000038,MRC67618,TID37094,POS,CARD,MASTERCARD,AXIS,4715.03,INR,2026-02-01T23:58:44,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,1,TRACE574313
TXN2026M0000039,ORDM0000039,MRC29083,TID16695,ONLINE,UPI,,ICICI,5764.85,INR,2026-02-02T01:00:04,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,1,TRACE227167
TXN2026M0000040,ORDM0000040,MRC36188,TID95927,POS,UPI,RUPAY,HDFC,1467.45,INR,2026-02-03T20:56:17,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,1,TRACE217270
TXN2026M0000041,ORDM0000041,MRC79373,TID97023,POS,UPI,MASTERCARD,KOTAK,14905.22,INR,2026-02-03T00:40:02,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,0,TRACE219097
TXN2026M0000042,ORDM0000042,MRC96177,TID43217,ONLINE,CARD,MASTERCARD,SBI,1925.39,INR,2026-02-02T16:19:43,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,0,TRACE277770
TXN2026M0000043,ORDM0000043,MRC94011,TID95038,POS,UPI,RUPAY,HDFC,17639.83,INR,2026-02-02T02:52:56,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,0,TRACE761359
TXN2026M0000044,ORDM0000044,MRC91956,TID95025,POS,CARD,VISA,ICICI,4827.52,INR,2026-02-04T13:08:20,SUCCESS,SUCCESS,FAILED,FAILED,BANK_FILE,BANK_FILE_REJECTED,Issuer bank rejected settlement file,1,TRACE617375
TXN2026M0000045,ORDM0000045,MRC32164,TID15626,POS,UPI,,ICICI,14792.66,INR,2026-02-03T06:22:38,SUCCESS,SUCCESS,SUCCESS,FAILED,POST_AUTH,WEBHOOK_MISSED,Merchant webhook acknowledgement missing,0,TRACE952839
TXN2026M0000046,ORDM0000046,MRC45711,TID52200,POS,UPI,VISA,AXIS,2513.99,INR,2026-02-02T08:07:33,SUCCESS,SUCCESS,FAILED,FAILED,BANK_FILE,BANK_FILE_REJECTED,Issuer bank rejected settlement file,1,TRACE963446
TXN2026M0000047,ORDM0000047,MRC68308,TID54182,ONLINE,UPI,RUPAY,ICICI,17405.88,INR,2026-02-02T15:05:32,SUCCESS,SUCCESS,FAILED,FAILED,BANK_FILE,BANK_FILE_REJECTED,Issuer bank rejected settlement file,0,TRACE927534
TXN2026M0000048,ORDM0000048,MRC35607,TID52489,POS,UPI,RUPAY,KOTAK,10412.05,INR,2026-02-04T13:31:39,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,0,TRACE797460
TXN2026M0000049,ORDM0000049,MRC77673,TID15441,POS,CARD,RUPAY,KOTAK,6691.35,INR,2026-02-02T11:47:28,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,0,TRACE216905
TXN2026M0000050,ORDM0000050,MRC54013,TID45664,POS,CARD,MASTERCARD,HDFC,4082.74,INR,2026-02-02T13:11:15,FAILED,SUCCESS,SUCCESS,FAILED,AUTH,ISSUER_TIMEOUT,Issuer did not respond within SLA,1,TRACE494750
TXN2026M0000051,ORDM0000051,MRC31326,TID31093,ONLINE,WALLET,,SBI,11538.59,INR,2026-02-04T03:15:33,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,1,TRACE760079
TXN2026M0000052,ORDM0000052,MRC59503,TID59360,ONLINE,UPI,MASTERCARD,SBI,17526.72,INR,2026-02-01T12:22:37,SUCCESS,SUCCESS,FAILED,FAILED,SETTLEMENT,SETTLEMENT_NOT_TRIGGERED,Settlement engine did not pick transaction,2,TRACE944737
TXN2026M0000053,ORDM0000053,MRC38571,TID39536,POS,CARD,VISA,HDFC,17068.93,INR,2026-02-01T18:49:31,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,1,TRACE761662
TXN2026M0000054,ORDM0000054,MRC88168,TID88670,ONLINE,WALLET,,SBI,19543.28,INR,2026-02-01T14:13:42,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,0,TRACE723760
TXN2026M0000055,ORDM0000055,MRC62967,TID37720,ONLINE,WALLET,,KOTAK,689.01,INR,2026-02-03T23:41:34,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,1,TRACE647058
TXN2026M0000056,ORDM0000056,MRC33153,TID16249,ONLINE,WALLET,MASTERCARD,SBI,5100.92,INR,2026-02-02T09:13:12,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,0,TRACE948943
TXN2026M0000057,ORDM0000057,MRC11992,TID57151,POS,WALLET,MASTERCARD,AXIS,19146.25,INR,2026-02-02T01:04:35,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,0,TRACE731637
TXN2026M0000058,ORDM0000058,MRC78944,TID81936,POS,UPI,MASTERCARD,KOTAK,18980.6,INR,2026-02-01T12:06:35,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,0,TRACE485927
TXN2026M0000059,ORDM0000059,MRC37451,TID67756,POS,CARD,VISA,ICICI,5784.21,INR,2026-02-03T16:39:24,SUCCESS,SUCCESS,SUCCESS,FAILED,POST_AUTH,WEBHOOK_MISSED,Merchant webhook acknowledgement missing,2,TRACE104203
TXN2026M0000060,ORDM0000060,MRC21766,TID39044,ONLINE,UPI,RUPAY,HDFC,7672.8,INR,2026-02-04T08:58:31,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,0,TRACE716486
TXN2026M0000061,ORDM0000061,MRC60369,TID21668,ONLINE,CARD,VISA,KOTAK,15256.93,INR,2026-02-03T02:12:22,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,1,TRACE837308
TXN2026M0000062,ORDM0000062,MRC55231,TID71097,POS,CARD,,AXIS,15021.3,INR,2026-02-04T03:02:52,FAILED,SUCCESS,SUCCESS,FAILED,AUTH,ISSUER_TIMEOUT,Issuer did not respond within SLA,0,TRACE275281
TXN2026M0000063,ORDM0000063,MRC32906,TID96044,POS,CARD,,HDFC,11687.6,INR,2026-02-02T11:52:40,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,1,TRACE654555
TXN2026M0000064,ORDM0000064,MRC17328,TID22869,ONLINE,CARD,,KOTAK,10177.15,INR,2026-02-04T18:09:39,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,0,TRACE292818
TXN2026M0000065,ORDM0000065,MRC61394,TID35258,POS,CARD,VISA,ICICI,19720.65,INR,2026-02-01T17:44:24,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,0,TRACE446468
TXN2026M0000066,ORDM0000066,MRC39580,TID80417,POS,CARD,,HDFC,10908.8,INR,2026-02-03T06:09:56,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,1,TRACE881379
TXN2026M0000067,ORDM0000067,MRC66519,TID53194,POS,CARD,MASTERCARD,HDFC,2609.22,INR,2026-02-03T09:48:18,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,0,TRACE895828
TXN2026M0000068,ORDM0000068,MRC31403,TID74445,POS,CARD,MASTERCARD,AXIS,2017.39,INR,2026-02-03T12:40:43,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,1,TRACE144892
TXN2026M0000069,ORDM0000069,MRC42448,TID99498,ONLINE,WALLET,,KOTAK,9250.53,INR,2026-02-03T11:58:08,SUCCESS,SUCCESS,FAILED,FAILED,SETTLEMENT,SETTLEMENT_NOT_TRIGGERED,Settlement engine did not pick transaction,1,TRACE801004
TXN2026M0000070,ORDM0000070,MRC96116,TID93923,ONLINE,CARD,VISA,HDFC,16916.07,INR,2026-02-03T10:33:41,SUCCESS,SUCCESS,FAILED,FAILED,SETTLEMENT,SETTLEMENT_NOT_TRIGGERED,Settlement engine did not pick transaction,2,TRACE957561
TXN2026M0000071,ORDM0000071,MRC68783,TID31847,POS,UPI,RUPAY,KOTAK,14109.74,INR,2026-02-02T19:59:48,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,0,TRACE366160
TXN2026M0000072,ORDM0000072,MRC43769,TID20996,ONLINE,WALLET,,KOTAK,2804.12,INR,2026-02-01T16:40:29,SUCCESS,SUCCESS,FAILED,FAILED,SETTLEMENT,SETTLEMENT_NOT_TRIGGERED,Settlement engine did not pick transaction,2,TRACE369420
TXN2026M0000073,ORDM0000073,MRC99139,TID15390,ONLINE,UPI,RUPAY,KOTAK,15710.26,INR,2026-02-02T15:42:04,FAILED,SUCCESS,SUCCESS,FAILED,AUTH,ISSUER_TIMEOUT,Issuer did not respond within SLA,0,TRACE961156
TXN2026M0000074,ORDM0000074,MRC85545,TID64027,POS,CARD,RUPAY,ICICI,6126.52,INR,2026-02-02T13:01:18,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,0,TRACE604482
TXN2026M0000075,ORDM0000075,MRC91320,TID32710,ONLINE,CARD,,KOTAK,5933.4,INR,2026-02-02T03:48:33,SUCCESS,SUCCESS,FAILED,FAILED,SETTLEMENT,SETTLEMENT_NOT_TRIGGERED,Settlement engine did not pick transaction,2,TRACE205798
TXN2026M0000076,ORDM0000076,MRC34895,TID40006,POS,CARD,RUPAY,HDFC,7703.8,INR,2026-02-03T05:34:41,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,0,TRACE327458
TXN2026M0000077,ORDM0000077,MRC87761,TID30852,ONLINE,WALLET,VISA,ICICI,11787.0,INR,2026-02-03T20:27:35,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,1,TRACE985011
TXN2026M0000078,ORDM0000078,MRC53998,TID35802,POS,CARD,,HDFC,14968.51,INR,2026-02-03T01:35:30,SUCCESS,SUCCESS,FAILED,FAILED,BANK_FILE,BANK_FILE_REJECTED,Issuer bank rejected settlement file,1,TRACE413575
TXN2026M0000079,ORDM0000079,MRC62318,TID15108,POS,WALLET,,KOTAK,8293.53,INR,2026-02-04T03:07:54,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,1,TRACE783064
TXN2026M0000080,ORDM0000080,MRC41239,TID34861,ONLINE,CARD,MASTERCARD,KOTAK,17334.37,INR,2026-02-03T05:00:31,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,1,TRACE184757
TXN2026M0000081,ORDM0000081,MRC93562,TID16256,POS,CARD,,SBI,13694.67,INR,2026-02-02T03:49:39,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,0,TRACE157387
TXN2026M0000082,ORDM0000082,MRC70211,TID40717,ONLINE,WALLET,VISA,KOTAK,14346.16,INR,2026-02-03T00:57:02,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,1,TRACE707626
TXN2026M0000083,ORDM0000083,MRC35809,TID76873,ONLINE,WALLET,,SBI,14994.73,INR,2026-02-01T19:41:59,SUCCESS,SUCCESS,FAILED,FAILED,BANK_FILE,BANK_FILE_REJECTED,Issuer bank rejected settlement file,0,TRACE962206
TXN2026M0000084,ORDM0000084,MRC40926,TID55193,ONLINE,WALLET,MASTERCARD,ICICI,17149.29,INR,2026-02-04T03:02:49,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,1,TRACE549416
TXN2026M0000085,ORDM0000085,MRC28558,TID51665,ONLINE,UPI,RUPAY,ICICI,6805.87,INR,2026-02-01T23:20:49,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,0,TRACE539827
TXN2026M0000086,ORDM0000086,MRC11383,TID30806,ONLINE,UPI,MASTERCARD,SBI,9422.1,INR,2026-02-04T16:18:36,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,1,TRACE849392
TXN2026M0000087,ORDM0000087,MRC16090,TID92305,ONLINE,UPI,MASTERCARD,HDFC,18817.56,INR,2026-02-04T09:31:23,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,0,TRACE996093
TXN2026M0000088,ORDM0000088,MRC62343,TID12784,POS,WALLET,MASTERCARD,AXIS,14556.92,INR,2026-02-04T15:05:04,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,1,TRACE561903
TXN2026M0000089,ORDM0000089,MRC92488,TID33586,POS,UPI,MASTERCARD,SBI,15191.21,INR,2026-02-01T17:31:23,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,0,TRACE457358
TXN2026M0000090,ORDM0000090,MRC16740,TID10904,ONLINE,UPI,RUPAY,HDFC,9654.37,INR,2026-02-04T09:03:18,FAILED,SUCCESS,SUCCESS,FAILED,AUTH,ISSUER_TIMEOUT,Issuer did not respond within SLA,2,TRACE610522
TXN2026M0000091,ORDM0000091,MRC95975,TID15372,ONLINE,UPI,MASTERCARD,AXIS,3500.82,INR,2026-02-02T20:59:38,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,1,TRACE342417
TXN2026M0000092,ORDM0000092,MRC75522,TID91559,ONLINE,CARD,RUPAY,AXIS,5744.08,INR,2026-02-04T03:30:14,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,1,TRACE960972
TXN2026M0000093,ORDM0000093,MRC23624,TID99127,POS,WALLET,VISA,ICICI,6598.93,INR,2026-02-02T16:45:19,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,0,TRACE764337
TXN2026M0000094,ORDM0000094,MRC14851,TID93794,POS,WALLET,VISA,ICICI,16104.23,INR,2026-02-03T14:37:57,SUCCESS,SUCCESS,SUCCESS,FAILED,POST_AUTH,WEBHOOK_MISSED,Merchant webhook acknowledgement missing,0,TRACE575018
TXN2026M0000095,ORDM0000095,MRC52038,TID86616,POS,WALLET,RUPAY,KOTAK,8270.09,INR,2026-02-02T08:08:49,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,0,TRACE300969
TXN2026M0000096,ORDM0000096,MRC69957,TID88998,ONLINE,WALLET,VISA,HDFC,5889.71,INR,2026-02-03T05:36:07,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,1,TRACE607592
TXN2026M0000097,ORDM0000097,MRC44041,TID44259,ONLINE,CARD,RUPAY,KOTAK,16746.68,INR,2026-02-03T12:03:25,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,1,TRACE326686
TXN2026M0000098,ORDM0000098,MRC54440,TID74107,POS,WALLET,,ICICI,13504.72,INR,2026-02-04T18:04:18,FAILED,SUCCESS,SUCCESS,FAILED,AUTH,ISSUER_TIMEOUT,Issuer did not respond within SLA,2,TRACE654029
TXN2026M0000099,ORDM0000099,MRC85475,TID40277,ONLINE,CARD,MASTERCARD,AXIS,16268.14,INR,2026-02-03T11:45:40,SUCCESS,SUCCESS,FAILED,FAILED,BANK_FILE,BANK_FILE_REJECTED,Issuer bank rejected settlement file,0,TRACE904200
TXN2026M0000100,ORDM0000100,MRC62391,TID75005,POS,CARD,MASTERCARD,KOTAK,3397.18,INR,2026-02-04T00:12:22,SUCCESS,SUCCESS,FAILED,FAILED,BANK_FILE,BANK_FILE_REJECTED,Issuer bank rejected settlement file,1,TRACE732564
TXN2026M0000101,ORDM0000101,MRC45102,TID48004,ONLINE,UPI,VISA,ICICI,13118.27,INR,2026-02-04T01:21:19,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,0,TRACE439436
TXN2026M0000102,ORDM0000102,MRC97364,TID11142,ONLINE,CARD,RUPAY,KOTAK,19290.8,INR,2026-02-03T19:36:26,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,1,TRACE903804
TXN2026M0000103,ORDM0000103,MRC67224,TID63224,ONLINE,UPI,MASTERCARD,SBI,11248.3,INR,2026-02-04T08:35:03,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,0,TRACE812481
TXN2026M0000104,ORDM0000104,MRC61175,TID94318,ONLINE,WALLET,,ICICI,3435.46,INR,2026-02-02T07:50:59,SUCCESS,SUCCESS,SUCCESS,FAILED,POST_AUTH,WEBHOOK_MISSED,Merchant webhook acknowledgement missing,2,TRACE511311
TXN2026M0000105,ORDM0000105,MRC21557,TID88804,ONLINE,CARD,VISA,AXIS,10949.6,INR,2026-02-02T22:56:23,SUCCESS,SUCCESS,FAILED,FAILED,BANK_FILE,BANK_FILE_REJECTED,Issuer bank rejected settlement file,0,TRACE316106
TXN2026M0000106,ORDM0000106,MRC80956,TID50841,POS,WALLET,,ICICI,9121.38,INR,2026-02-04T15:22:29,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,0,TRACE203872
TXN2026M0000107,ORDM0000107,MRC96643,TID78147,POS,CARD,VISA,AXIS,6789.84,INR,2026-02-04T05:18:02,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,1,TRACE546891
TXN2026M0000108,ORDM0000108,MRC23982,TID67216,POS,UPI,,HDFC,14567.55,INR,2026-02-02T14:38:25,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,0,TRACE436928
TXN2026M0000109,ORDM0000109,MRC23370,TID29647,ONLINE,CARD,RUPAY,AXIS,5762.57,INR,2026-02-03T15:20:25,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,1,TRACE988140
TXN2026M0000110,ORDM0000110,MRC97852,TID94773,POS,WALLET,MASTERCARD,SBI,5320.3,INR,2026-02-02T21:41:21,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,1,TRACE113422
TXN2026M0000111,ORDM0000111,MRC80666,TID99317,POS,CARD,RUPAY,ICICI,5642.15,INR,2026-02-03T11:53:32,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,0,TRACE793117
TXN2026M0000112,ORDM0000112,MRC82652,TID70302,POS,WALLET,,SBI,14355.12,INR,2026-02-02T21:49:54,SUCCESS,SUCCESS,FAILED,FAILED,SETTLEMENT,SETTLEMENT_NOT_TRIGGERED,Settlement engine did not pick transaction,1,TRACE645423
TXN2026M0000113,ORDM0000113,MRC58945,TID62834,POS,WALLET,VISA,ICICI,11342.21,INR,2026-02-04T18:08:46,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,0,TRACE690323
TXN2026M0000114,ORDM0000114,MRC30506,TID86995,ONLINE,UPI,MASTERCARD,ICICI,8523.01,INR,2026-02-02T15:08:33,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,0,TRACE515040
TXN2026M0000115,ORDM0000115,MRC33940,TID63242,ONLINE,CARD,,AXIS,13949.34,INR,2026-02-02T22:18:30,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,1,TRACE666151
TXN2026M0000116,ORDM0000116,MRC63060,TID57476,POS,CARD,,SBI,8970.77,INR,2026-02-03T17:22:28,FAILED,SUCCESS,SUCCESS,FAILED,AUTH,ISSUER_TIMEOUT,Issuer did not respond within SLA,1,TRACE145709
